id,name,album,artists,url
0,Technique Ancestral,Nuage Tape,Mazoo,https://i.scdn.co/image/ab67616d00001e0229e67f244887f425de172e3a
1,Souvenir,Mustafar,Luv Resval,https://i.scdn.co/image/ab67616d00001e0225ccd808fb6b2c07c6dcc0e3
2,Give 'Em Hell,Give 'Em Hell,ECZODIA,https://i.scdn.co/image/ab67616d00001e023f27fed810acfb6f4f6ffc7d
3,RANGE,CASINO ROYAL,Godson,https://i.scdn.co/image/ab67616d00001e02595aa3eff107ec243aff51f1
4,BEHERIT,DOPPELGÄNGER,Zeu,https://i.scdn.co/image/ab67616d00001e02ee921c3aa0f8b3d37059fd15
5,Margiela Au Pluriel,Trillsaison,Huntrill,https://i.scdn.co/image/ab67616d00001e0257bb2755bedc67292dc9b49a
6,FRRRSCHT.bip,FRRRSCHT.bip,Huntrill,https://i.scdn.co/image/ab67616d00001e0216ab858a2309be098af83ee7
7,Survival Instinct,Embers of Protest,Burning Heads,https://i.scdn.co/image/ab67616d00001e02aec26c3f0143778793076478
8,Police in Helicopters,Opposite,Burning Heads,https://i.scdn.co/image/ab67616d00001e02a980eb5cad1ea4529a6ba5ca
9,Wise Guy,Escape,Burning Heads,https://i.scdn.co/image/ab67616d00001e02640a1d82d0672aa7a486589c
10,LA TORNADE,LA TORNADE,Lowtso,https://i.scdn.co/image/ab67616d00001e02c8cc8e6aea1db66745c2b9b1
11,Cerveau,Connecté 2,Sely,https://i.scdn.co/image/ab67616d00001e0259d7a81d3d402bfdeef57f19
14,PROBATION,PROBATION,Gazo,https://i.scdn.co/image/ab67616d00001e02369395f3c1176dc86c496b03
16,COLD THOUGHTS,THE RAIN NEVER LIES,CAPU$H,https://i.scdn.co/image/ab67616d00001e02ea9ed8154c04c30a8fd20301
22,ADATA,La Bête,Vilhelm.,https://i.scdn.co/image/ab67616d00001e02973a940a7f4f2086dfb52bd3
27,LE TEMPS NOUS A TOUT PRIS,LE TEMPS NOUS A TOUT PRIS,Artel,https://i.scdn.co/image/ab67616d00001e02e8ba008b682862c281dc2f1c
28,Memories,S.P.T.,zaky,https://i.scdn.co/image/ab67616d00001e0210be00b0145920557bc39822
30,ELEMENT,SOULGAZE,zaky,https://i.scdn.co/image/ab67616d00001e02250d2ee4e49a43e86ca1c36a
31,A+,Sentiments,zaky,https://i.scdn.co/image/ab67616d00001e028b8d6eaf477016c5aa5d7b0c
32,Brûler la maison,Brûler la maison,Asinine,https://i.scdn.co/image/ab67616d00001e022a9687c10adf2621d2cc9293
33,GUILDE,CE(UX) QU'ON AIME,16bener,https://i.scdn.co/image/ab67616d00001e0247270bb19172e43a6434171f
34,DAMSAUTISTE,J'AI MENTI.,Damso,https://i.scdn.co/image/ab67616d00001e02b26f76522d7f62afdc9ca18c
37,Sous Un Pont,Enigme,Reymour,https://i.scdn.co/image/ab67616d00001e021e5d4addb7c868f8169b425a
38,The Hand That Feeds,With Teeth (Bonus Tracks),Nine Inch Nails,https://i.scdn.co/image/ab67616d00001e02c6fb913ce65ee5844f3ece58
39,t'appelles ça vivre ?,paris  31 août,Django,https://i.scdn.co/image/ab67616d00001e02962d04d0020c6a4b20d0edef
52,Daddy's Pussy,Daddy's Pussy,LIONSTORM,https://i.scdn.co/image/ab67616d00001e02c79f75f24bf7b4bbf49fe37d
53,Hey Mama,Hey Mama,LIONSTORM,https://i.scdn.co/image/ab67616d00001e022499f67bafd8db9e9c864bcd
54,do u really want to watch,do u really want to watch,LIONSTORM,https://i.scdn.co/image/ab67616d00001e0281696d8c7d0707945d182102
55,Révolution,Bushi Tape 3,BU$HI,https://i.scdn.co/image/ab67616d00001e02a9cd7a1170a6cde8d509eede
70,Ciao,Ciao,Shien,https://i.scdn.co/image/ab67616d00001e0237fd2ee25723d67a571b8dbb
71,Au revoir,Neige,Shien,https://i.scdn.co/image/ab67616d00001e02726a4177b88a5bbf39242a74
72,2003,Obsession,Shien,https://i.scdn.co/image/ab67616d00001e0292c57e2b987d778f6187057b
74,Rosebud,BIAFINE ON MY SCARS,TETHA,https://i.scdn.co/image/ab67616d00001e021e17c3597be6f86d4b927955
75,crystal,200,abel31,https://i.scdn.co/image/ab67616d00001e02ba4b43f860254eaa6db1f3c4
76,House,Encore (Maximale Edition),Zed Yun Pavarotti,https://i.scdn.co/image/ab67616d00001e02b234ad0228e709d1eca90b18
77,Rotten To The Core,Universe Wrapped In Flesh,Lexa Gates,https://i.scdn.co/image/ab67616d00001e029d45690ef16d0f01e436ae7b
78,Stacy's Chips,Elite Vessel,Lexa Gates,https://i.scdn.co/image/ab67616d00001e02b49e0655c1d8540f5ada1415
79,can't stand it,can't stand it,tg.blk,https://i.scdn.co/image/ab67616d00001e02a9ef07cab43764ef198b4698
80,screen turns blue,dear dialE,dialE,https://i.scdn.co/image/ab67616d00001e02eaf1ad19ce39648d09e6a8ea
81,SUPERSTAR,ITS NOT THAT DEEP,tg.blk,https://i.scdn.co/image/ab67616d00001e0247b788346c3b9b1646abfa54
82,BOOM BAP,Alligator Bites Never Heal,Doechii,https://i.scdn.co/image/ab67616d00001e02b245099fe26319344ddf6054
83,Sweet Lies,Sweet Lies,Qendresa,https://i.scdn.co/image/ab67616d00001e02aa03d113585f84537b6c45a9
84,Chameleon,Change & Remain,RUBII,https://i.scdn.co/image/ab67616d00001e0241ead7a4a2faa2d751cbd2e2
85,ASTRO,ASTRO,Slowboy,https://i.scdn.co/image/ab67616d00001e02170645a888e5ae66a547f09a
86,INTERNET LOVE,INTERNET LOVE,IVOXYGEN,https://i.scdn.co/image/ab67616d00001e022d963237c2df1a36671d6463
87,Easy Money,ARGENT,Tshegue,https://i.scdn.co/image/ab67616d00001e02e36d3a17b7131ca51b2165fb
90,WE GOT THAT,BLACK MOSS,BLACK MOSS,https://i.scdn.co/image/ab67616d00001e025129a66ee52f5cd42aee08c5
91,Overthinking,Overthinking,Mikano,https://i.scdn.co/image/ab67616d00001e0249dd05abadbbd08240532453
92,LIFE LIKE THIS,LIFE LIKE THIS,IVOXYGEN,https://i.scdn.co/image/ab67616d00001e021a9ea9db180187078bcb1ca3
93,casino143,casino143,IVOXYGEN,https://i.scdn.co/image/ab67616d00001e02d2543dcb638b59403225ccab
94,Muanapoto,Muanapoto,Tshegue,https://i.scdn.co/image/ab67616d00001e028bf6031d68bca34444c6fb14
95,Shuffle,Shuffle,Tshegue,https://i.scdn.co/image/ab67616d00001e0259b7dda62fcebbac90fe4656
96,Eusexua,Eusexua,FKA twigs,https://i.scdn.co/image/ab67616d00001e029e97a65dbd7ffdff93e3652c
97,MFTB,The Drive Home,Samara Cyn,https://i.scdn.co/image/ab67616d00001e02721690c6fa6b815bda44739b
107,VODOO,ARCTIC,Malo,https://i.scdn.co/image/ab67616d00001e020abd872e155ed524b834786a
108,Barbie,GOLDMAKER,Ajna,https://i.scdn.co/image/ab67616d00001e02b725c728672895293dff256e
109,Pipe Down !,Pipe Down !,BU$HI,https://i.scdn.co/image/ab67616d00001e0287c4f3673529cfff925de3e9
110,DOGZ (In the Studio),DOGZ (In the Studio),Laylow,https://i.scdn.co/image/ab67616d00001e02a628faaa1fcbed2fa560c6de
111,Soldier,The Eminem Show,Eminem,https://i.scdn.co/image/ab67616d00001e026ca5c90113b30c3c43ffb8f4
112,Moving Heat,Reassessment,Maenad Veyl,https://i.scdn.co/image/ab67616d00001e0291fe4acec64a0570435cf652
113,Splinter,Ratusserie,Ratu$,https://i.scdn.co/image/ab67616d00001e02dfd13d85014497592ac428f0
114,.JETSET.,.JETSET.,Advm,https://i.scdn.co/image/ab67616d00001e02702c8656dd37c03f77ebdbf2
115,Aller simple,Cascade,Lovarran,https://i.scdn.co/image/ab67616d00001e02bc7e170afa27d8c43ce33aa7
116,VENDREDI À LONDRES,POUR 2 VRAI,NeS,https://i.scdn.co/image/ab67616d00001e0266de6b067b3c045a27a8d0cb
117,Message,Uncovered,Zamilska,https://i.scdn.co/image/ab67616d00001e02c3f6b949e213cc8b58e3bfc9
118,Night in Carnac,Les Mystères de Lorient,Il Est Vilaine,https://i.scdn.co/image/ab67616d00001e020d5e5d0e8cc1f4a040e8a576
